Where is the "Big Dipper" often used?	0.1733
When were the Chinese constellations attested?	1.5623
Does origins for The 88 modern constellations likely go back to prehistory?	0.8678
Who, who wrote a piece called Sirius, has been claimed to have said on several occasions that, who wrote a piece called Sirius came from a planet in the star system?	-0.5212
Was a nationwide lobbying effort coordinated among astronomers?	-0.5212
When did the mirror polishing stop?	-1.2157
What is the relationship between Sirius B and bow and arrows?	0.8678
When did space based astronomy begin?	-0.5212
Is "Orion's belt" known as "Judge's stick" ?	0.1733
What is the Pinwheel Galaxy?	0.8678
Did the Rig Veda refer to the Orion Constellation as Mriga ?	0.8678
What is the south pole star of Orionis?	1.5623
Where is Sirius mentioned in Surah, An-Najm?	0.8678
What is the third largest constellation in the night sky?	1.5623
Did public spending cuts lead to The U.S. Congress deleting all funding for the telescope project?	0.1733
Is a constellation a group of stars that are considered to form imaginary outlines?	0.1733
Did Sirius serve as the body of a "Great Bird" constellation called Manu?	0.1733
What is the Butterfly Cluster?	0.8678
What was the name of the book that Christiaan Huygens wrote about the distance to Sirius?	1.5623
Is Orion a prominent constellation located on the celestial equator?	0.1733
What is caused by NGC 2787 higher than usual rate of star formation?	0.1733
Where is pole of Mars a little over two degrees away from 42 Draconis, while the north Celestial pole of Mars south pole is HD 40455, a relatively faint star in?	-0.5212
What is the brightest star in the night sky?	0.8678
What is the connection between galaxies and the Hubble telescope?	1.5623
Is shortened from New Latin stella polaris?	-0.5212
What is the goal of the "Hubble Deep Fields Initiative 2012"?	1.5623
Does the stella polaris always appear in the sky?	0.8678
Who will become the North Star some time around 5200 AD?	-0.5212
Is its shape said to resemble either a ladle?	-1.2157
Could a space-based telescope observe infrared?	0.8678
How old are the brightest stars in the trapezoid?	1.5623
How old is Alnilam?	0.1733
Did η Ursae Majoris?	-1.2157
Why did engineers determine that the gyro failures were?	-1.2157
Has Orion also been used as a symbol in the modern world?	0.1733
Was Sah closely linked with Sopdet?	1.5623
Where is the story set?	-1.2157
Who launched the orbiting solar telescope in 1962?	1.5623
What happened to the blood of the hunter?	0.1733
Do some astronomical naming systems give the constellation where a given celestial object is found along with a designation in order to convey an approximate idea of Some astronomical naming systems location in the sky?	-1.2157
What is NGC 2787?	-1.2157
What is the name Polaris shortened from?	-0.5212
What is IAU?	0.8678
What is the constellation where a given celestial object is found along with a designation in order to convey an approximate idea of Some what in the sky?	-0.5212
What is the story of Scorpio without Orion?	0.1733
In 1923, who — considered a father of modern rocketry, along with Robert H. Goddard and Konstantin Tsiolkovsky — published Die Rakete zu den Planetenräumen , which mentioned how a telescope could be propelled into Earth orbit by a rocket?	-0.5212
Why is it of a similar distance and size to Rigel, but appears much fainter?	0.1733
Did ε Ursae Majoris?	-1.2157
Are Dubhe known as the "pointer stars"?	0.1733
Did Ptolemy of Alexandria depict it as one of six red-coloured stars ?	0.1733
What is the naked eye star nearest to the geographic north pole?	0.8678
What did Noah Brosch explain in his book Sirius Matters?	-1.2157
Where were the earliest direct evidence for equatorial constellations?	-0.5212
Did Phaeton turn most of Africa into desert?	-0.5212
When was CANDELS referred to as "the largest project in the history of Hubble"?	0.8678
Did form a 28-sided irregular polygon?	-1.2157
Was Orion named after Orion?	-1.2157
How far away from Earth is the star 47 Ursae Majoris d?	0.8678
What is the name of the constellation that Petrus Plancius added in the late 16th century?	1.5623
When did the Egyptian civil calendar begin to wander backwards through the months?	1.5623
What is the zodiac sign of the tropical zodiac?	-0.5212
