Who in Florida also has a breeding pair of Chinese alligators?	-0.0844
Where are cockroaches common and hardy insects, and can tolerate a wide range of environments from cold to tropical heat?	-0.7105
Did several extinct species of alligator are know from fossil remains?	-0.7105
Where is dinosaur the 27 meters (89 feet) long Diplodocus, which was discovered in in the United States and displayed in's Carnegie Natural History Museum in 1907?	-1.3366
Why is this consistent with the fossil record which suggests that this genus diverged from the line?	-1.3366
What is the name of the UF/IFAS training manual for cockroaches?	0.5417
What is the name of the subfamily of sea lions?	0.5417
When was the Honey-bee: Heidelberg: Edition Staeck?	-1.3366
Some of these are also present in silesaurids, which which recovered as a sister group to Dinosauria, including a large anterior trochanter, metatarsals II and IV of subequal length, reduced contact between ischium and pubis, the presence of a cnemial crest on the tibia and of an ascending process on the astragalus, and many others?	-1.3366
Are Cats similar in anatomy to the other felids?	1.1678
What is the nature of glue that hardens quickly?	-0.0844
Where did attack leave a 62-year - old man who was boating with his wife in with a punctured bone ..?	-0.0844
Did only seven species of Honey bee     are recognize?	-0.7105
What are fed with royal jelly produced by worker bees, later switching to honey and pollen?	-0.7105
How do apis mellifera carnica honey bees use antennae?	1.1678
What do bees use asymmetrically for social interactions with a strong lateral preference to use?	0.5417
What is the likelihood of feral cats killing birds in the US?	1.1678
Why is what can be said as certainly as possible in the absence of direct (i.e., fossil) evidence that, by the end of the Cretaceous, the penguin lineage must have been evolutionarily well distinct, though much less so morphologically; the penguin lineage is fairly likely that the penguin lineage were not yet entirely flightless at that time, as flightless birds have generally low resilience to the breakdown of trophic webs that follows the initial phase of mass extinctions?	-1.3366
What are the origin and systematics of modern penguins?	0.5417
Did Honey bee    A honey bee (?	-1.3366
In the third edition of Mammal Species of the World published in 2005, which the mammalogist listed under the wolf (Canis lupus) what the wolf (Canis lupus) proposed to be two subspecies: " familiaris Linneaus , 1758 [domestic dog	-1.3366
Where do dictionaries suggest a derivation from Welsh pen, " head " and gwyn, " white ", including the Oxford English Dictionary, the American Heritage Dictionary, the Century Dictionary and Merriam - Webster, on the basis that the name was originally applied to the great auk, either because the name was found on White Head Island (Welsh Pen Gwyn) in, or because the name had white circles around the name eyes (though the head was black )?	-1.3366
Where did sea lion drag a small girl by a small girl dress into the water while a small girl was sitting on a pier side around the time tourists in were illegally feeding sea lions?	-0.7105
Who in southern Louisiana has several in captivity in an attempt to preserve the species?	0.5417
Where did ones occur in, and at least one other — which is or includes the paleeudyptines as recognized today – occurred on most Antarctic and Subantarctic coasts?	-1.3366
What is the relationship to other bird orders Penguin ancestry beyond Waimanu?	-0.7105
Did Dinosaur    Dinosaurs first appear during the Triassic period?	0.5417
Why is eusociality favour by the unusual haplodiploid system of sex determination in Hymenoptera?	1.1678
Who and many other animals have a Jacobson's organ located in and many other animals mouths that allows and many other animals to taste - smell certain aromas in a way of which humans have no experience?	-0.7105
What is the name of the sea lion in the 1994 film Andre?	1.1678
Why do some males not find a mate?	-0.0844
What is the population of sea lions in San Francisco?	1.1678
Who made in or near houses, such as in roof spaces, can present a danger as Some social wasps may sting if people come close to people?	-0.0844
Where does Aquarium of the Americas in have leucistic alligators found in a Louisiana swamp in 1987?	-0.0844
In 1905, who wrote a French book Les bizarreries des races humaines, which mentions a cockroach paste recipe used by the English and the Irish people?	1.1678
Where is the National Museum of Canada?	1.1678
Where is the Black grass-dart butterfly endemic to New South Wales?	-0.7105
Why did honey bee, as it is a kind or type of bee, whereas it is incorrect to run the two words together as in dragonfly or butterfly?	-1.3366
When did wasps become a superfamily?	0.5417
When did the first evidence of Greeks having domestic cats come from two coins from Magna Graecia?	-0.0844
Are Canis familiaris) sister taxa?	-0.7105
Why are the earliest cockroach - like fossils (" blattopterans " or " roachids ") from the Carboniferous period 320 million years ago?	0.5417
Many dinosaurs were quite small: who, for example, was only about 50 cm (20 in) long?	1.1678
Why are most of the tissues and cells of the larva break down inside the pupa?	1.1678
